id_Video_action,Category,Video_input_frames,Video_input_lenght,"Video_input_Resolution [width, height]",3D_Hmmr_output_all,Type,Agent,2D_kps_euclidean_distance_Average,PCK,AUC
5_penalty5,Penalty,51,00:00:01,"[606, 404]",46,Side,Woman,"27,197","64,6739130434783","0,745"
1_freekick,Freekick,68,00:00:02,"[1280, 720]",63,Side,Man,"52,171","64,683","0,738"
17_penalty,Penalty,28,00:00:00,"[1280, 720]",23,Back,Man,"80,837","69,022","0,797"
16_penalty1,Penalty,69,00:00:02,"[908, 720]",64,Side,Man,"81,192","72,461","0,788"
10_penalty1,Penalty,66,00:00:02,"[522, 358]",61,Back,Kid,"87,589","74,283","0,809"
14_penalty1,Penalty,80,00:00:02,"[304, 264]",75,Side,Man,"17,078","75,167","0,826"
21_freekick,Freekick,75,00:00:03,"[754, 584]",70,Side,Man,"49,551","76,696","0,808"
11_freekick,Freekick,71,00:00:03,"[1280, 720]",66,Side,Kid,"55,765","88,731","0,879"
25_freekick,Freekick,51,00:00:02,"[748, 420]",46,Side,Man,"26,636","91,712","0,885"
18_freekick3,Freekick,67,00:00:02,"[718, 674]",62,Side,Man,"44,612","92,540","0,888"
25_freekick1,Freekick,48,00:00:01,"[748, 420]",43,Side,Man,"13,719","94,913","0,897"
19_freekick,Freekick,62,00:00:02,"[636, 720]",57,Front,Man,"20,049","95,066","0,894"
12_penalty,Freekick,121,00:00:04,"[592, 446]",116,Side,Man,"34,240","95,690","0,888"
18_freekick,Freekick,62,00:00:02,"[722, 674]",57,Side,Man,"46,884","95,833","0,897"
6_freekick,Freekick,36,00:00:01,"[854, 480]",31,Front,Woman,"19,189","97,379","0,916"
18_freekick1,Freekick,49,00:00:01,"[630, 674]",44,Side,Man,,,
13_freekick,Freekick,107,00:00:03,"[762, 578]",102,Side,Man,,,
19_freekick1,Freekick,68,00:00:02,"[772, 720]",63,Side,Man,,,
19_freekick2,Freekick,143,00:00:04,"[856, 720]",138,Front,Man,,,
23_freekick,Freekick,62,00:00:02,"[846, 720]",57,Side,Man,,,
14_penalty,Penalty,87,00:00:03,"[420, 314]",82,Side,Man,,,
17_penalty1,Penalty,82,00:00:02,"[1280, 720]",82,Side,Man,,,
11_freekick1,Freekick,62,00:00:02,"[1280, 720]",57,Side,Kid,,,
13_freekick1,Freekick,96,00:00:03,"[718, 540]",91,Back,Man,,,
13_freekick2,Freekick,110,00:00:03,"[586, 570]",105,Back,Man,,,
18_freekick2,Freekick,74,00:00:02,"[718, 674]",69,Side,Man,,,
21_freekick1,Freekick,75,00:00:03,"[954, 614]",70,Back,Man,,,
22_freekick1,Freekick,84,00:00:02,"[832, 720]",79,Side,Man,,,
9_penalty,Penalty,59,00:00:02,"[436, 682]",54,Back,Man,,,
5_penalty7,Penalty,56,00:00:01,"[606, 404]",51,Side,Woman,,,
5_penalty6,Penalty,77,00:00:02,"[606, 404]",72,Back,Woman,,,
5_penalty4,Penalty,56,00:00:01,"[606, 404]",51,Side,Woman,,,
5_penalty2,Penalty,50,00:00:01,"[606, 404]",45,Side,Woman,,,
5_penalty,Penalty,53,00:00:01,"[524, 266]",43,Side,Woman,,,
4_penalty5,Penalty,68,00:00:02,"[562, 266]",63,Side,Woman,,,
9_penalty1,Penalty,47,00:00:02,"[560, 682]",42,Back,Man,,,
20_freekick,Freekick,81,00:00:03,"[1280, 720]",76,Side,Man,,,
22_freekick,Freekick,108,00:00:03,"[832, 720]",103,Side,Man,,,
,,,,,,,,,,
Average,,"71,289",00:00:02,,"66,289",,,,"83,257","0,844"
,,,,,,,,,,
Sum,,2709,00:01:19,,2519,,,,,
